Designator,Mid X,Mid Y,Rotation,Layer
C1,60.96,-71.995,90.0,top
C2,59.69,-67.31,0.0,top
C3,95.25,-76.2,180.0,top
C4,92.1,-72.39,0.0,top
C5,106.0,-59.9125,90.0,top
C6,104.3,-59.9125,90.0,top
D1,57.15,-63.5,0.0,top
D2,89.535,-68.58,0.0,top
D3,66.658718,-67.961282,45.0,top
D4,69.231282,-67.928718,45.0,top
D5,71.771282,-67.928718,45.0,top
D6,74.311282,-67.928718,45.0,top
D7,76.835,-67.945,45.0,top
D8,79.375,-67.945,45.0,top
J1,105.41,-66.04,90.0,top
J2,127.0,-67.31,180.0,top
J3,121.92,-63.5,0.0,top
J4,124.46,-63.5,0.0,top
PMOD1,85.08,-52.07,270.0,top
PMOD2,105.41,-52.07,270.0,top
R1,61.355,-63.5,180.0,top
R10,117.66,-53.52,270.0,top
R2,94.375,-68.58,180.0,top
R3,67.31,-63.895,270.0,top
R4,69.85,-63.895,270.0,top
R5,72.39,-63.895,270.0,top
R6,74.93,-63.895,270.0,top
R7,77.47,-63.895,270.0,top
R8,80.01,-63.895,270.0,top
U1,92.71,-76.2,0.0,top
U2,92.71,-73.66,0.0,top
U3,109.34,-59.8825,180.0,top
U4,109.3325,-56.4,0.0,top
X1_49,83.82,-63.5,0.0,top
X1_48,83.82,-60.96,0.0,top
X1_47,86.36,-60.96,0.0,top
X1_46,86.36,-63.5,0.0,top
X1_45,88.9,-63.5,0.0,top
X1_44,88.9,-60.96,0.0,top
X1_43,76.2,-53.34,0.0,top
X1_42,76.2,-50.8,0.0,top
X1_41,91.44,-60.96,0.0,top
X1_40,91.44,-63.5,0.0,top
X1_39,93.98,-60.96,0.0,top
X1_38,93.98,-63.5,0.0,top
X1_37,93.98,-53.34,0.0,top
X1_36,93.98,-55.88,0.0,top
X1_35,93.98,-58.42,0.0,top
X1_34,93.98,-50.8,0.0,top
X1_33,96.52,-58.42,0.0,top
X1_32,96.52,-63.5,0.0,top
X1_31,96.52,-55.88,0.0,top
X1_30,96.52,-53.34,0.0,top
X1_29,96.52,-60.96,0.0,top
X1_28,96.52,-50.8,0.0,top
X1_27,78.74,-55.88,0.0,top
X1_26,76.2,-55.88,0.0,top
X1_25,73.66,-55.88,0.0,top
X1_24,71.12,-55.88,0.0,top
X1_23,68.58,-55.88,0.0,top
X1_22,66.04,-55.88,0.0,top
X1_21,68.58,-53.34,0.0,top
X1_20,73.66,-53.34,0.0,top
X1_19,71.12,-53.34,0.0,top
X1_18,66.04,-53.34,0.0,top
X1_17,66.04,-50.8,0.0,top
X1_16,68.58,-50.8,0.0,top
X1_15,73.66,-50.8,0.0,top
X1_14,71.12,-50.8,0.0,top
X1_13,58.42,-55.88,0.0,top
X1_12,55.88,-58.42,0.0,top
X1_11,55.88,-55.88,0.0,top
X1_10,58.42,-60.96,0.0,top
X1_9,58.42,-58.42,0.0,top
X1_8,60.96,-55.88,0.0,top
X1_7,60.96,-60.96,0.0,top
X1_6,60.96,-58.42,0.0,top
X1_5,55.88,-60.96,0.0,top
X1_4,86.36,-66.04,0.0,top
X1_3,88.9,-66.04,0.0,top
X1_2,91.44,-66.04,0.0,top
X1,93.98,-66.04,0.0,top
X10,63.5,-55.88,0.0,top
X11,63.5,-58.42,0.0,top
X12,63.5,-50.8,0.0,top
X13,63.5,-53.34,0.0,top
X14,63.5,-60.96,0.0,top
X15,99.06,-58.42,0.0,top
X16,99.06,-60.96,0.0,top
X17,99.06,-55.88,0.0,top
X18,99.06,-63.5,0.0,top
X19,91.44,-55.88,0.0,top
X2,66.04,-58.42,0.0,top
X20,88.9,-55.88,0.0,top
X21,101.6,-60.96,0.0,top
X22,101.6,-55.88,0.0,top
X23,101.6,-63.5,0.0,top
X24,101.6,-58.42,0.0,top
X25,86.36,-55.88,0.0,top
X26,83.82,-55.88,0.0,top
X27,81.28,-60.96,0.0,top
X28,91.44,-58.42,0.0,top
X29,88.9,-58.42,0.0,top
X3,68.58,-58.42,0.0,top
X30,81.28,-58.42,0.0,top
X31,81.28,-55.88,0.0,top
X32,86.36,-58.42,0.0,top
X33,83.82,-58.42,0.0,top
X4,71.12,-58.42,0.0,top
X5,73.66,-58.42,0.0,top
X6,76.2,-58.42,0.0,top
X7,78.74,-58.42,0.0,top
X8,114.3,-60.96,0.0,top
X9,116.84,-60.96,0.0,top
